Price,Bedroom,Bathroom,Square feet,Street,City/State
"$4,950,000",4bd,3ba,"2,400 sqft",115 Sanchez St #117,"Duboce Triangle, San Francisco, CA"
"$10,750,000",2bd,1ba,"1,220 sqft",501-509 Haight St,"Hayes Valley, San Francisco, CA"
"$750,000",3bd,4ba,"3,705 sqft",900 Bush St #521,"Downtown, San Francisco, CA"
"$1,179,000",2bd,2ba,"1,866 sqft",175 Russ St #12,"SoMa, San Francisco, CA"
"$899,000",1bd,4ba,"1,950 sqft",2625 Judah St #1,"Central Sunset, San Francisco, CA"
"$1,799,000",2bd,2ba,"2,900 sqft",654-656 33rd Ave,"Outer Richmond, San Francisco, CA"
"$1,298,000",3bd,3ba,"2,075 sqft",393 30th Ave,"Central Richmond, San Francisco, CA"
"$2,995,000",3bd,1ba,"2,032 sqft",1227-1231 San Bruno Ave,"Potrero Hill, San Francisco, CA"
"$985,000",3bd,2ba,"2,172 sqft",201 Sansome St #604,"Downtown, San Francisco, CA"
"$799,000",1bd,2ba,"2,386 sqft",167 Vienna St,"Excelsior, San Francisco, CA"
"$1,195,000",2bd,2ba,"1,258 sqft",1101 Green St #303,"Russian Hill, San Francisco, CA"
"$1,199,000",2bd,1ba,"1,393 sqft",14 Montezuma St,"Bernal Heights, San Francisco, CA"
"$748,000",1bd,1ba,832 sqft,1535 Van Dyke Ave,"Bayview, San Francisco, CA"
"$1,750,000",2bd,2ba,672 sqft,1529-1533 Mason St,"Russian Hill, San Francisco, CA"
"$3,400,000",2bd,4ba,816 sqft,3938-3940 Washington St,"Presidio Heights, San Francisco, CA"
"$1,880,000",4bd,2ba,853 sqft,700-702 7th Ave,"Inner Richmond, San Francisco, CA"
"$1,850,000",4bd,3ba,"1,187 sqft",4151-4153 23rd St,"Noe Valley, San Francisco, CA"
"$1,495,000",2bd,1ba,883 sqft,219 Brannan St #3A,"South Beach, San Francisco, CA"
"$5,800,000",2bd,1ba,"1,991 sqft",949-953 Lombard St,"Russian Hill, San Francisco, CA"
"$1,374,747",4bd,2ba,"1,200 sqft",21 Lakeshore Dr,"Stonestown, San Francisco, CA"
"$995,000",2bd,1ba,"2,100 sqft",1459-1461 Thomas Ave,"Bayview, San Francisco, CA"
"$1,950,000",5bd,1ba,"1,380 sqft",1072-1074 Filbert St,"Russian Hill, San Francisco, CA"
"$1,750,000",3bd,1ba,"1,300 sqft",533 7th Ave,"Inner Richmond, San Francisco, CA"
"$1,740,000",3bd,2ba,864 sqft,114 Russ St #A,"SoMa, San Francisco, CA"
"$2,100,000",3bd,4ba,"3,200 sqft",617 B-B.5 Broderick St,"Haight, San Francisco, CA"
"$1,300,000",6bd,3ba,"4,392 sqft",721-725 Randolph St,"Ingleside Heights, San Francisco, CA"
"$849,000",2bd,2ba,"3,000 sqft",217 Lowell St,"Crocker Amazon, San Francisco, CA"
"$1,495,000",2bd,2ba,"4,772 sqft",3977 19th St,"Castro, San Francisco, CA"
"$1,199,000",2bd,3ba,"10,313 sqft",1921 Jefferson St #101,"Marina, San Francisco, CA"
"$749,000",6bd,2ba,"2,370 sqft",350 Broderick St #402,"Panhandle, San Francisco, CA"
"$988,000",2bd,5ba,"3,090 sqft",4566 18th St,"Castro, San Francisco, CA"
"$1,215,000+",2bd,3ba,"1,820 sqft",201 Folsom St #20H,"South Beach, San Francisco, CA"
"$1,700,000+",2bd,4ba,"2,633 sqft",201 Folsom St #18B,"South Beach, San Francisco, CA"
"$1,125,000+",3bd,2ba,"1,275 sqft",1300 22nd St #421,"Potrero Hill, San Francisco, CA"
"$1,550,000",2bd,5ba,"1,000 sqft",291 Topaz Way,"Diamond Heights, San Francisco, CA"
"$899,000",3bd,1ba,"7,840 sqft",2780 19th Ave #71,"Central Sunset, San Francisco, CA"
"$1,098,000",5bd,1ba,"2,580 sqft",1329 Revere Ave,"Bayview, San Francisco, CA"
"$1,575,000",3bd,1ba,750 sqft,1 Hawthorne St #4H,"South Beach, San Francisco, CA"
"$999,000",2bd,3ba,"2,500 sqft",95 Molimo Dr,"Miraloma, San Francisco, CA"
"$631,714",1bd,1ba,"1,320 sqft",1778 Newcomb Ave,"Bayview, San Francisco, CA"
"$828,000",2bd,2ba,"3,003 sqft",206 San Juan Ave,"Mission Terrace, San Francisco, CA"
"$7,250,000",2bd,3ba,"2,126 sqft",1940 Vallejo St #11,"Pacific Heights, San Francisco, CA"
"$6,350,000",2bd,3ba,"2,794 sqft",2440 Scott St,"Pacific Heights, San Francisco, CA"
"$4,600,000",2bd,1ba,"2,247 sqft",1338 Filbert St #D,"Russian Hill, San Francisco, CA"
"$4,575,000",2bd,2ba,"3,820 sqft",1083 Dolores St,"Noe Valley, San Francisco, CA"
"$16,000,000",5bd,3ba,"3,468 sqft",3500 Jackson St,"Presidio Heights, San Francisco, CA"
"$2,395,000",3bd,1ba,"2,286 sqft",72 San Benito Way,"Saint Francis Wood, San Francisco, CA"
"$3,995,000",4bd,2ba,"2,027 sqft",55 25th Ave,"Sea Cliff, San Francisco, CA"
"$1,425,000",2bd,2ba,"4,533 sqft",55 Cerritos Ave,"Ingleside Terrace, San Francisco, CA"
"$1,688,000",3bd,2ba,"1,425 sqft",1963 33rd Ave,"Central Sunset, San Francisco, CA"
"$1,095,000",4bd,2ba,"3,502 sqft",116 Connecticut St #3,"Potrero Hill, San Francisco, CA"
"$2,995,000",6bd,1ba,"1,579 sqft",1001 Diamond St,"Noe Valley, San Francisco, CA"
"$699,000",3bd,3ba,"3,100 sqft",60 Ney St,"Excelsior, San Francisco, CA"
"$2,000,000",5bd,2ba,"3,005 sqft",333 Randolph St,"Ingleside Heights, San Francisco, CA"
"$1,795,000",3bd,4ba,"2,460 sqft",2253 9th Ave,"Forest Hill, San Francisco, CA"
"$1,649,000",3bd,2ba,830 sqft,751 Duncan St,"Noe Valley, San Francisco, CA"
"$2,150,000",2bd,4ba,"2,748 sqft",175 Brewster St,"Bernal Heights, San Francisco, CA"
"$1,150,000",1bd,2ba,"1,344 sqft",2019-2025 15th St #2023,"Castro, San Francisco, CA"
"$3,200,000",2bd,2ba,"1,478 sqft",140 32nd Ave,"Sea Cliff, San Francisco, CA"
"$5,495,000",1bd,3ba,"1,100 sqft",301 Main St #15,"South Beach, San Francisco, CA"
"$2,895,000",3bd,4ba,"1,023 sqft",3521 Sacramento St,"Presidio Heights, San Francisco, CA"
"$1,099,000",1bd,2ba,"1,556 sqft",240 Holyoke St,"Portola, San Francisco, CA"
"$1,990,000",1bd,2ba,"2,900 sqft",318 24th Ave,"Central Richmond, San Francisco, CA"
"$2,495,000",3bd,1ba,"1,200 sqft",1155 Monterey Blvd,"Mount Davidson Manor, San Francisco, CA"
"$1,425,000",2bd,2ba,"1,810 sqft",2257 15th Ave,"Inner Parkside, San Francisco, CA"
"$6,250,000",5bd,2ba,"2,001 sqft",188 Minna St #30A,"South Beach, San Francisco, CA"
"$1,400,000",2bd,1ba,370 sqft,89 Belle Ave,"Ingleside Heights, San Francisco, CA"
"$1,195,000",2bd,2ba,549 sqft,1718 12th Ave,"Inner Sunset, San Francisco, CA"
"$3,900,000",2bd,1ba,908 sqft,948 Hampshire St,"Potrero Hill, San Francisco, CA"
"$1,885,000",2bd,2ba,"1,124 sqft",718 Long Bridge St #705,"Mission Bay, San Francisco, CA"
"$1,488,000",2bd,1ba,"2,480 sqft",378 Alemany Blvd,"Bernal Heights, San Francisco, CA"
"$899,000",3bd,1ba,"1,275 sqft",5256 3rd St,"Bayview, San Francisco, CA"
"$2,459,000",1bd,4ba,"2,755 sqft",1626 Folsom St,"SoMa, San Francisco, CA"
"$1,098,000",2bd,2ba,"1,160 sqft",339 Woolsey St,"Portola, San Francisco, CA"
"$699,000",2bd,2ba,"1,320 sqft",1455 Shafter Ave,"Bayview, San Francisco, CA"
"$1,795,000",2bd,2ba,"1,933 sqft",856 Baker St,"Northern Park, San Francisco, CA"
"$1,250,000",2bd,2ba,"2,388 sqft",260 King St #687,"Mission Bay, San Francisco, CA"
"$1,185,000",2bd,2ba,"1,215 sqft",1099 Mississippi St #1,"Potrero Hill, San Francisco, CA"
"$1,495,000",2bd,1ba,"4,500 sqft",1417 Vallejo St,"Russian Hill, San Francisco, CA"
"$949,000",2bd,2ba,"2,692 sqft",461 2nd St #218,"South Beach, San Francisco, CA"
"$1,695,000",3bd,2ba,"2,585 sqft",1150 Lombard St #11,"Russian Hill, San Francisco, CA"
"$3,200,000",3bd,1ba,"1,661 sqft",125 25th Ave,"Sea Cliff, San Francisco, CA"
"$1,299,000",3bd,2ba,"3,450 sqft",452-454 Ivy St,"Hayes Valley, San Francisco, CA"
"$1,428,500",3bd,2ba,862 sqft,2330 34th Ave,"Central Sunset, San Francisco, CA"
"$1,595,000",2bd,2ba,"1,050 sqft",295 Summit Way,"Stonestown Apartments, San Francisco, CA"
"$595,000",2bd,2ba,"1,455 sqft",574 Natoma St #402,"SoMa, San Francisco, CA"
"$199,000",4bd,2ba,"1,175 sqft",901 Bay Shore Blvd #305,"Silver Terrace, San Francisco, CA"
"$899,000",3bd,1ba,924 sqft,1070 Post St #5,"Civic Center, San Francisco, CA"
"$1,188,000",2bd,1ba,"1,694 sqft",435 China Basin St #540,"Mission Bay, San Francisco, CA"
"$689,000",3bd,3ba,"2,200 sqft",900 Bush St #501,"Downtown, San Francisco, CA"
"$899,000",3bd,3ba,"1,470 sqft",228 18th Ave,"Central Richmond, San Francisco, CA"
"$699,000",2bd,3ba,"1,620 sqft",28 Rebecca Ln,"Hunters Point, San Francisco, CA"
"$2,188,000",2bd,2ba,"1,760 sqft",2514 14th Ave,"West Portal, San Francisco, CA"
"$1,695,000",2bd,2ba,"10,200 sqft",558 27th Ave,"Central Richmond, San Francisco, CA"
"$925,000",2bd,1ba,"1,211 sqft",180 18th Ave,"Lake Street, San Francisco, CA"
"$1,998,000",3bd,2ba,"1,113 sqft",1 Clarence Pl #9,"South Beach, San Francisco, CA"
"$1,999,000",2bd,2ba,"1,175 sqft",688 Clipper St,"Noe Valley, San Francisco, CA"
"$1,198,000",3bd,2ba,"2,437 sqft",400 Beale St #1606,"South Beach, San Francisco, CA"
"$5,750,000",2bd,3ba,"1,307 sqft",2008 Vallejo St,"Pacific Heights, San Francisco, CA"
"$5,385,000+",2bd,3ba,"3,200 sqft",201 Folsom St #30B,"South Beach, San Francisco, CA"
"$4,099,000",3bd,2ba,"1,550 sqft",1338 Filbert St #C,"Russian Hill, San Francisco, CA"
"$1,299,000",3bd,2ba,"2,325 sqft",584 Teresita Blvd,"Miraloma, San Francisco, CA"
"$2,775,000",2bd,2ba,"1,106 sqft",172 Lunado Ct,"Ingleside Terrace, San Francisco, CA"
"$998,000",3bd,2ba,"1,131 sqft",62 Santa Ysabel Ave,"Mission Terrace, San Francisco, CA"
"$738,000",2bd,2ba,"2,251 sqft",301 Maynard St,"Excelsior, San Francisco, CA"
"$995,000",2bd,2ba,"8,136 sqft",684 Teresita Blvd,"Miraloma, San Francisco, CA"
"$1,050,000",2bd,3ba,"1,475 sqft",230 Granada Ave,"Ingleside, San Francisco, CA"
"$1,298,000",2bd,2ba,"1,625 sqft",125 Pinehurst Way,"Mount Davidson Manor, San Francisco, CA"
"$1,195,000+",3bd,2ba,"1,557 sqft",Split 2-Bedroom Plan in Knox,"Potrero Hill, San Francisco, CA"
"$1,448,000",3bd,2ba,"4,000 sqft",1150 Folsom St #1,"SoMa, San Francisco, CA"
"$4,495,000+",2bd,3ba,"2,402 sqft",Penthouse Plan in The Pacific,"Pacific Heights, San Francisco, CA"
"$1,398,000",2bd,3ba,"2,115 sqft",110 Alpine Ter,"Buena Vista Park and Dolores Park, San Francisco, CA"
"$899,000",2bd,3ba,741 sqft,45 Cleary Ct #1,"Western Addition, San Francisco, CA"
"$1,195,000",3bd,2ba,"1,686 sqft",1666 41st Ave,"Outer Sunset, San Francisco, CA"
"$1,599,000",2bd,2ba,884 sqft,841 14th St,"Duboce Triangle, San Francisco, CA"
"$3,500,000",3bd,2ba,"1,724 sqft",860 24th Ave,"Central Richmond, San Francisco, CA"
"$1,195,000",1bd,2ba,799 sqft,2319 15th St #A,"Buena Vista Park and Dolores Park, San Francisco, CA"
"$899,000",3bd,3ba,"1,366 sqft",1328 Mission St #4,"SoMa, San Francisco, CA"
"$1,499,000",2bd,4ba,"1,715 sqft",1650 Broadway #403,"Pacific Heights, San Francisco, CA"
"$1,649,000",3bd,3ba,"1,242 sqft",2655 Bush St #503,"Lower Pacific Heights, San Francisco, CA"
"$799,000",3bd,3ba,989 sqft,54 Howth St,"Ingleside, San Francisco, CA"
"$2,950,000",1bd,3ba,"1,115 sqft",947 Green St #2,"Russian Hill, San Francisco, CA"
"$1,750,000",2bd,4ba,810 sqft,301 Main St #19F,"South Beach, San Francisco, CA"
"$2,395,000",3bd,3ba,"1,189 sqft",1440 15th Ave,"Inner Sunset, San Francisco, CA"
"$1,049,000",2bd,2ba,"1,719 sqft",901 Holyoke St,"Visitacion Valley, San Francisco, CA"
"$2,899,000",3bd,1ba,972 sqft,72 Townsend St #310,"South Beach, San Francisco, CA"
"$1,049,000",3bd,2ba,"1,463 sqft",66 Cleary Ct #904,"Western Addition, San Francisco, CA"
"$979,000",3bd,2ba,"1,401 sqft",1070 Post St #4,"Civic Center, San Francisco, CA"
"$3,100,000",3bd,1ba,"1,197 sqft",550 Davis St #26,"Financial District, San Francisco, CA"
"$925,000",4bd,3ba,"1,092 sqft",3550-3552 22nd St,"Noe Valley, San Francisco, CA"
"$3,750,000",3bd,1ba,"1,660 sqft",565 Page St,"Hayes Valley, San Francisco, CA"
"$3,000,000",1bd,1ba,774 sqft,44-46 Liberty St,"Castro, San Francisco, CA"
"$1,395,000",2bd,2ba,891 sqft,225 Montcalm St,"Bernal Heights, San Francisco, CA"
"$1,295,000",2bd,3ba,"2,112 sqft",960 Cayuga Ave,"Mission Terrace, San Francisco, CA"
"$1,195,000",3bd,2ba,"4,516 sqft",724 Santiago St,"Inner Parkside, San Francisco, CA"
"$1,799,000",2bd,3ba,"1,780 sqft",284 Roosevelt Way,"Buena Vista Park and Dolores Park, San Francisco, CA"
"$3,300,000",2bd,3ba,"2,692 sqft",1825 Scott St #1825A,"Lower Pacific Heights, San Francisco, CA"
"$1,588,000",2bd,3ba,"3,314 sqft",146 Stillings Ave,"Miraloma, San Francisco, CA"
"$1,280,000",5bd,4ba,"1,217 sqft",2132 18th Ave,"Inner Parkside, San Francisco, CA"
"$850,000",2bd,4ba,"1,217 sqft",2000 Ellis St #206,"Anza Vista, San Francisco, CA"
"$3,300,000",2bd,3ba,950 sqft,999 Green St #2604,"Russian Hill, San Francisco, CA"
"$899,000",2bd,1ba,"1,762 sqft",8 Buchanan St #806,"Duboce Triangle, San Francisco, CA"
"$899,000",2bd,2ba,"1,420 sqft",482 La Grande Ave,"Excelsior, San Francisco, CA"
"$875,000",1bd,2ba,"12,348 sqft",300 Berry St #1409,"Mission Bay, San Francisco, CA"
"$849,000",1bd,2ba,775 sqft,1875 Mission St #211,"Mission, San Francisco, CA"
"$1,895,000",2bd,2ba,"1,870 sqft",44 Museum Way,"Buena Vista Park and Dolores Park, San Francisco, CA"
"$1,775,000+",2bd,3ba,"6,450 sqft",Residence 3 Plan in LUMINA,"South Beach, San Francisco, CA"
"$761,756",2bd,1ba,"1,302 sqft",1652 Geneva Ave,"Crocker Amazon, San Francisco, CA"
"$775,000",1bd,6ba,"1,797 sqft",85 Lapham Way,"Crocker Amazon, San Francisco, CA"
"$1,220,000+",3bd,1ba,"1,185 sqft",E302 Plan in Rockwell,"Civic Center, San Francisco, CA"
"$1,299,000+",5bd,1ba,975 sqft,Plan B3 in The District at Lower Pacific Heights,"Lower Pacific Heights, San Francisco, CA"
"$1,050,000",1bd,1ba,"1,155 sqft",569 Congo St,"Miraloma, San Francisco, CA"
"$1,565,000+",2bd,2ba,"1,225 sqft",Residence 2 Plan in LUMINA,"South Beach, San Francisco, CA"
"$1,680,500",3bd,1ba,"1,001 sqft",3867-3869 17th St,"Castro, San Francisco, CA"
"$1,725,000",2bd,2ba,"1,947 sqft",901 Guerrero St,"Noe Valley, San Francisco, CA"
"$1,700,000+",2bd,2ba,"1,252 sqft",Residence 7 Plan in LUMINA,"South Beach, San Francisco, CA"
"$1,545,000",2bd,2ba,"1,823 sqft",708 Haight St,"Hayes Valley, San Francisco, CA"
"$2,180,000+",1bd,3ba,"1,600 sqft",Residence 4 Plan in LUMINA,"South Beach, San Francisco, CA"
"$1,398,000",2bd,2ba,"1,780 sqft",435 China Basin St #426,"Mission Bay, San Francisco, CA"
"$1,298,000",1bd,3ba,"1,212 sqft",88 King St #302,"South Beach, San Francisco, CA"
"$3,000,000",2bd,5ba,"1,204 sqft",1333 Jones St #910,"Nob Hill, San Francisco, CA"
"$888,000",2bd,1ba,"1,340 sqft",2443 Clement St #1,"Central Richmond, San Francisco, CA"
"$699,000",4bd,2ba,"1,080 sqft",1176 Quesada Ave,"Bayview, San Francisco, CA"
"$4,875,000+",2bd,4ba,"1,185 sqft",3-Bedroom SE Corner Plan in The Pacific,"Pacific Heights, San Francisco, CA"
"$4,250,000",3bd,2ba,"1,155 sqft",2585 Clay St,"Pacific Heights, San Francisco, CA"
"$3,100,000+",2bd,2ba,"3,005 sqft",Residence 8 Plan in LUMINA,"South Beach, San Francisco, CA"
"$5,385,000+",4bd,1ba,"3,770 sqft",Residence 5 Plan in LUMINA,"South Beach, San Francisco, CA"
"$2,399,000",3bd,2ba,"3,199 sqft",3444 17th St,"Mission Dolores, San Francisco, CA"
"$400,114",3bd,1ba,"1,605 sqft",35 Garnett Ter,"Bayview, San Francisco, CA"
"$1,299,000",1bd,1ba,"3,199 sqft",718 Long Bridge St #321,"Mission Bay, San Francisco, CA"
"$749,000",3bd,1ba,"1,882 sqft",38 Grafton Ave,"Ingleside, San Francisco, CA"
"$1,980,000",2bd,2ba,"1,605 sqft",1480 10th Ave,"Inner Sunset, San Francisco, CA"
"$799,000",3bd,3ba,"1,639 sqft",5 Garnett Ter,"Bayview, San Francisco, CA"
"$6,500,000",2bd,1ba,"1,934 sqft",700 Kearny St,"Financial District, San Francisco, CA"
"$899,000",2bd,2ba,"1,875 sqft",911 Capitol Ave,"Ingleside, San Francisco, CA"
"$988,500",3bd,1ba,"1,775 sqft",1603 Ingalls St,"Bayview, San Francisco, CA"
"$3,995,000",2bd,2ba,"1,153 sqft",11-17 Pearl St,"Mission Dolores, San Francisco, CA"
"$1,125,800",3bd,2ba,639 sqft,172 Coleman St,"Hunters Point, San Francisco, CA"
"$3,295,000",2bd,2ba,920 sqft,765 Market St #22G,"SoMa, San Francisco, CA"
"$995,000",2bd,1ba,"1,445 sqft",1488 Harrison St #302,"SoMa, San Francisco, CA"
"$1,025,000+",2bd,1ba,"2,051 sqft",202 Plan in La Maison Soma,"SoMa, San Francisco, CA"
"$899,000",2bd,1ba,"1,116 sqft",415 Amazon Ave,"Excelsior, San Francisco, CA"
"$1,500,000",3bd,2ba,"1,829 sqft",222 28th St,"Noe Valley, San Francisco, CA"
"$1,295,000",2bd,2ba,"2,076 sqft",8 Octavia St #502,"Hayes Valley, San Francisco, CA"
"$3,899,000",1bd,3ba,"3,453 sqft",425 1st St #5204,"South Beach, San Francisco, CA"
"$1,475,000",2bd,2ba,"3,970 sqft",14 Fairfield Way,"Mount Davidson Manor, San Francisco, CA"
"$1,299,000",2bd,2ba,"1,882 sqft",2626 19th Ave,"Inner Parkside, San Francisco, CA"
"$2,199,000",3bd,1ba,"3,667 sqft",562 28th Ave,"Central Richmond, San Francisco, CA"
"$3,245,000+",2bd,2ba,"2,200 sqft",201 Folsom St #30E,"South Beach, San Francisco, CA"
"$1,079,800+",2bd,1ba,"3,802 sqft",192 Coleman St. Unit #192 Plan in The San Francisco Shipyard : Alma and Engel,"Hunters Point, San Francisco, CA"
"$999,800+",1bd,2ba,"2,350 sqft",293 Friedell St. Unit #293 Plan in The San Francisco Shipyard : Alma and Engel,"Hunters Point, San Francisco, CA"
"$980,800+",2bd,3ba,"2,470 sqft",50 Jerrold Ave. Unit #409 Plan in The San Francisco Shipyard : Alma and Engel,"Hunters Point, San Francisco, CA"
"$1,070,000+",4bd,1ba,"1,820 sqft",51 Innes Ct. #312 Plan in The San Francisco Shipyard : Monarch,"Hunters Point, San Francisco, CA"
"$928,000+",3bd,2ba,"1,450 sqft",51 Innes Ct. #103 Plan in The San Francisco Shipyard : Monarch,"Hunters Point, San Francisco, CA"
"$1,125,000+",1bd,1ba,"1,100 sqft",51 Innes Ct. #302 Plan in The San Francisco Shipyard : Monarch,"Hunters Point, San Francisco, CA"
"$2,795,000",3bd,2ba,"1,062 sqft",365 Hill St,"Noe Valley, San Francisco, CA"
"$7,875,000+",3bd,3ba,"1,142 sqft",338 Main St #36A,"South Beach, San Francisco, CA"
"$14,000,000+",4bd,3ba,"1,328 sqft",69B Plan in 181 Fremont,"South Beach, San Francisco, CA"
"$3,715,000+",2bd,3ba,"1,177 sqft",58C Plan in 181 Fremont,"South Beach, San Francisco, CA"
"$14,000,000+",2bd,2ba,"5,480 sqft",181 Fremont St,"South Beach, San Francisco, CA"
"$5,630,000+",2bd,1ba,900 sqft,63A Plan in 181 Fremont,"South Beach, San Francisco, CA"
"$3,715,000+",3bd,2ba,840 sqft,181 Fremont St,"South Beach, San Francisco, CA"
"$2,125,000+",2bd,4ba,"1,640 sqft",#1107 Plan in ONE Mission Bay,"Mission Bay, San Francisco, CA"
"$875,000",3bd,2ba,"2,480 sqft",199 New Montgomery St #1309,"South Beach, San Francisco, CA"
"$1,095,000",2bd,2ba,834 sqft,546 Lyon St,"Northern Park, San Francisco, CA"
"$1,595,000",3bd,1ba,632 sqft,55 Wawona St,"West Portal, San Francisco, CA"
"$1,100,000",2bd,2ba,632 sqft,2089 Ingalls St #2,"Bayview, San Francisco, CA"
"$1,599,000",2bd,3ba,"1,219 sqft",401 Gates St,"Bernal Heights, San Francisco, CA"
"$729,000",1bd,1ba,"1,111 sqft",1231 Quesada Ave,"Bayview, San Francisco, CA"
"$779,000+",1bd,1ba,"1,362 sqft",306 Plan in La Maison Soma,"SoMa, San Francisco, CA"
"$1,079,000+",2bd,2ba,"1,590 sqft",303 Plan in La Maison Soma,"SoMa, San Francisco, CA"
"$1,495,000",3bd,2ba,"1,959 sqft",1821 15th St #4,"Mission Dolores, San Francisco, CA"
"$3,195,000",1bd,1ba,"3,200 sqft",601 4th St #113,"Mission Bay, San Francisco, CA"
"$899,000",2bd,2ba,759 sqft,208 Williams Ave,"Bayview, San Francisco, CA"
"$3,499,000+",2bd,1ba,"1,956 sqft",Penthouse 4 Plan in 1450 Franklin,"Civic Center, San Francisco, CA"
"$3,649,000+",1bd,2ba,"2,585 sqft",Penthouse 3 Plan in 1450 Franklin,"Civic Center, San Francisco, CA"
"$3,225,000",1bd,3ba,"1,714 sqft",542-546 Lyon St,"Northern Park, San Francisco, CA"
"$4,695,000",1bd,2ba,"2,088 sqft",4184-4186 25th St,"Noe Valley, San Francisco, CA"
"$5,630,000+",1bd,1ba,"1,111 sqft",181 Fremont St,"South Beach, San Francisco, CA"
"$2,800,000",1bd,1ba,"1,633 sqft",5201 Mission St #5205,"Crocker Amazon, San Francisco, CA"
"$1,350,000",2bd,2ba,975 sqft,194-196 Jules Ave,"Ingleside, San Francisco, CA"
"$3,800,000",1bd,2ba,669 sqft,512-516 Shotwell St,"Mission, San Francisco, CA"
"$1,488,000",1bd,4ba,841 sqft,1415 28th Ave #17,"Central Sunset, San Francisco, CA"
"$2,149,000",2bd,2ba,"2,628 sqft",1073-1075 14th St,"Buena Vista Park and Dolores Park, San Francisco, CA"
"$1,998,000",2bd,2ba,"1,190 sqft",770 23rd Ave,"Central Richmond, San Francisco, CA"
"$1,399,000",2bd,2ba,"1,625 sqft",2349 15th Ave,"Inner Parkside, San Francisco, CA"
"$749,000",3bd,1ba,"1,050 sqft",3514 26th St #2,"Mission, San Francisco, CA"
"$499,000",2bd,2ba,"1,750 sqft",324 Bradford St #V,"Bernal Heights, San Francisco, CA"
"$899,000",2bd,2ba,"1,550 sqft",73 Sumner St #103,"SoMa, San Francisco, CA"
"$1,200,000",2bd,2ba,"2,051 sqft",2922 Pine St,"Lower Pacific Heights, San Francisco, CA"
"$799,000",2bd,1ba,965 sqft,586 41st Ave,"Outer Richmond, San Francisco, CA"
"$2,900,000",4bd,2ba,"1,655 sqft",4055-4057 Cesar Chavez St,"Noe Valley, San Francisco, CA"
"$9,750,000",4bd,1ba,"2,738 sqft",2140-2144 Market St,"Duboce Triangle, San Francisco, CA"
"$1,489,000",2bd,1ba,"1,150 sqft",855 Folsom St #509,"SoMa, San Francisco, CA"
"$2,488,000",3bd,2ba,"1,689 sqft",207 King St #708,"Mission Bay, San Francisco, CA"
"$899,000",2bd,2ba,"1,312 sqft",1 Cuvier St,"Bernal Heights, San Francisco, CA"
"$3,888,000",2bd,2ba,"2,819 sqft",546-548 34th Ave,"Outer Richmond, San Francisco, CA"
"$719,000",2bd,3ba,"1,136 sqft",531 Rutland St,"Visitacion Valley, San Francisco, CA"
"$899,000",3bd,3ba,875 sqft,146 Tiffany Ave,"Mission, San Francisco, CA"
"$1,399,000",3bd,2ba,"1,057 sqft",380 Wawona St,"West Portal, San Francisco, CA"
"$1,399,000",1bd,2ba,"1,092 sqft",342 Lisbon St,"Excelsior, San Francisco, CA"
"$1,095,000+",1bd,2ba,"1,031 sqft",2-Bedroom Eastern Facing Plan in Knox,"Potrero Hill, San Francisco, CA"
"$1,125,000+",3bd,3ba,"1,678 sqft",Unit E Plan in 72 Townsend,"Potrero Hill, San Francisco, CA"
"$983,000+",3bd,3ba,"1,310 sqft",72 Townsend St #705,"South Beach, San Francisco, CA"
"$1,149,000",2bd,2ba,"1,198 sqft",250 King St #900,"Mission Bay, San Francisco, CA"
"$1,250,000",4bd,3ba,819 sqft,555 4th St #900,"Mission Bay, San Francisco, CA"
"$1,300,000",3bd,2ba,"1,054 sqft",88 King St #122,"South Beach, San Francisco, CA"
"$1,895,000",3bd,2ba,"3,000 sqft",1333 Jones St #903,"Nob Hill, San Francisco, CA"
"$1,299,000",3bd,3ba,"2,000 sqft",186 Carnelian Way,"Diamond Heights, San Francisco, CA"
"$2,698,000",4bd,3ba,"1,389 sqft",372 Richland Ave,"Bernal Heights, San Francisco, CA"
"$967,000",3bd,3ba,"1,865 sqft",401 Harrison St #11H,"South Beach, San Francisco, CA"
"$3,995,000+",2bd,1ba,"1,735 sqft",2121 Webster St #607,"Pacific Heights, San Francisco, CA"
